(1, 1, null, null, ../../assets/recipe-icons/distilled-water.png, Distilled Water, 1, Muddy Water, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(756, 18, null, null, ../../assets/recipe-icons/finishing-component.png, Finishing Component, 1, Finishing Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(757, 18, null, null, ../../assets/recipe-icons/figurehead-component.png, Figurehead Component, 1, Figurehead Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(758, 50, null, null, ../../assets/recipe-icons/fake-kupo-nut.png, Fake Kupo Nut, 1, Fake Kupo Nut Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(759, 50, null, null, ../../assets/recipe-icons/horn-component.png, Horn Component, 1, Horn Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(760, 50, null, null, ../../assets/recipe-icons/moogle-tool-component.png, Moogle Tool Component, 1, Moogle Tool Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(761, 50, null, null, ../../assets/recipe-icons/statue-supplies.png, Statue Supplies, 1, Statue Supplies Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(762, 50, null, null, ../../assets/recipe-icons/tablet-supplies.png, Tablet Supplies, 1, Tablet Supplies Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(763, 50, null, null, ../../assets/recipe-icons/training-supplies.png, Training Supplies, 1, Training Supplies Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(764, 50, null, null, ../../assets/recipe-icons/repurposed-construction-component.png, Repurposed Construction Component, 1, Construction Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(765, 50, null, null, ../../assets/recipe-icons/foundation-component.png, Foundation Component, 1, Foundation Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(766, 50, null, null, ../../assets/recipe-icons/basket-component.png, Basket Component, 1, Basket Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(767, 50, null, null, ../../assets/recipe-icons/wall-repair-supplies.png, Wall Repair Supplies, 1, Wall Repair Supplies Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(768, 50, null, null, ../../assets/recipe-icons/gathering-tool-component.png, Gathering Tool Component, 1, Gathering Tool Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(769, 50, null, null, ../../assets/recipe-icons/veneer-component.png, Veneer Component, 1, Veneer Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(770, 50, null, null, ../../assets/recipe-icons/aetheric-shielding.png, Aetheric Shielding, 1, Aetheric Shielding Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(771, 50, null, null, ../../assets/recipe-icons/stonemasonry-supplies.png, Stonemasonry Supplies, 1, Stonemasonry Supplies Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(772, 50, null, null, ../../assets/recipe-icons/exploding-kupo-nut.png, Exploding Kupo Nut, 1, Exploding Kupo Nut Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(773, 50, null, null, ../../assets/recipe-icons/austere-offering.png, Austere Offering, 1, Austere Offering Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(774, 50, null, null, ../../assets/recipe-icons/shearing-machine-component.png, Shearing Machine Component, 1, Shearing Machine Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(775, 50, null, null, ../../assets/recipe-icons/water-filter-component.png, Water Filter Component, 1, Water Filter Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(776, 50, null, null, ../../assets/recipe-icons/mogstew-miscellany.png, Mogstew Miscellany, 1, Mogstew Miscellany Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(777, 50, null, null, ../../assets/recipe-icons/moogle-statuette.png, Moogle Statuette, 1, Moogle Statuette Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(778, 50, null, null, ../../assets/recipe-icons/makeshift-toy-airship.png, Makeshift Toy Airship, 1, Makeshift Toy Airship Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(779, 50, null, null, ../../assets/recipe-icons/dragonscale-rasp.png, Dragonscale Rasp, 1, Dragonscale Rasp Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(780, 50, null, null, ../../assets/recipe-icons/cloudfish-lure.png, Cloudfish Lure, 1, Cloudfish Tackle Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(781, 50, null, null, ../../assets/recipe-icons/ishgardian-cuisine-miscellany.png, Ishgardian Cuisine Miscellany, 1, Ishgardian Cuisine Miscellany Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(782, 50, null, null, ../../assets/recipe-icons/treadwheel-crane-components.png, Treadwheel Crane Components, 1, Treadwheel Crane Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(783, 50, null, null, ../../assets/recipe-icons/moogle-mollifier.png, Moogle Mollifier, 1, Moogle Mollifier Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(784, 58, null, null, ../../assets/recipe-icons/happi-components.png, Happi Components, 1, Happi Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(785, 58, null, null, ../../assets/recipe-icons/finery-components.png, Finery Components, 1, Finery Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(786, 58, null, null, ../../assets/recipe-icons/ritual-implement-components.png, Ritual Implement Components, 1, Ritual Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(787, 58, null, null, ../../assets/recipe-icons/brazier-components.png, Brazier Components, 1, Brazier Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(788, 58, null, null, ../../assets/recipe-icons/uchiwa-components.png, Uchiwa Components, 1, Uchiwa Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(789, 58, null, null, ../../assets/recipe-icons/trinket-components.png, Trinket Components, 1, Trinket Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(790, 59, null, null, ../../assets/recipe-icons/altar-components.png, Altar Components, 1, Altar Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(791, 59, null, null, ../../assets/recipe-icons/catfish-lure-components.png, Catfish Lure Components, 1, Catfish Lure Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(792, 59, null, null, ../../assets/recipe-icons/azim-steppe-souvenir-components.png, Azim Steppe Souvenir Components, 1, Azim Steppe Souvenir Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(793, 59, null, null, ../../assets/recipe-icons/hingan-ritual-paraphernalia.png, Hingan Ritual Paraphernalia, 1, Hingan Ritual Paraphernalia Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(794, 59, null, null, ../../assets/recipe-icons/buuz-cooking-paraphernalia.png, Buuz Cooking Paraphernalia, 1, Buuz Cooking Paraphernalia Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(795, 59, null, null, ../../assets/recipe-icons/mol-tea-ceremony-paraphernalia.png, Mol Tea Ceremony Paraphernalia, 1, Mol Tea Ceremony Paraphernalia Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(796, 59, null, null, ../../assets/recipe-icons/substitute-offering.png, Substitute Offering, 1, Substitute Offering Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(797, 60, null, null, ../../assets/recipe-icons/mikoshi-frippery.png, Mikoshi Frippery, 1, Mikoshi Frippery Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(798, 60, null, null, ../../assets/recipe-icons/dzo-shear-components.png, Dzo Shear Components, 1, Dzo Shear Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(799, 60, null, null, ../../assets/recipe-icons/drum-parts.png, Drum Parts, 1, Drum Part Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(800, 60, null, null, ../../assets/recipe-icons/confetti-making-tools.png, Confetti-making Tools, 1, Confetti-making Tool Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(801, 60, null, null, ../../assets/recipe-icons/steeping-accessory.png, Steeping Accessory, 1, Steeping Accessory Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(802, 60, null, null, ../../assets/recipe-icons/ceremonial-bow-components.png, Ceremonial Bow Components, 1, Ceremonial Bow Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(803, 60, null, null, ../../assets/recipe-icons/stable-supplies.png, Stable Supplies, 1, Stable Supply Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(804, 60, null, null, ../../assets/recipe-icons/culinary-knife-component.png, Culinary Knife Component, 1, Culinary Knife Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(805, 60, null, null, ../../assets/recipe-icons/generous-gift.png, Generous Gift, 1, Generous Gift Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(806, 60, null, null, ../../assets/recipe-icons/elixir-mixing-paraphernalia.png, Elixir Mixing Paraphernalia, 1, Elixir Mixing Paraphernalia Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(807, 60, null, null, ../../assets/recipe-icons/effigy-components.png, Effigy Components, 1, Effigy Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(808, 60, null, null, ../../assets/recipe-icons/pristine-fruit-figurine.png, Pristine Fruit Figurine, 1, Pristine Fruit Figurine Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(809, 60, null, null, ../../assets/recipe-icons/land-diving-gear.png, Land Diving Gear, 1, Land Diving Gear Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(810, 60, null, null, ../../assets/recipe-icons/korrigan-doll.png, Korrigan Doll, 1, Korrigan Doll Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(811, 70, null, null, ../../assets/recipe-icons/workshop-supplies.png, Workshop Supplies, 1, Workshop Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(812, 70, null, null, ../../assets/recipe-icons/brewery-supplies.png, Brewery Supplies, 1, Brewery Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(813, 70, null, null, ../../assets/recipe-icons/crystal-cannon-supplies.png, Crystal Cannon Supplies, 1, Crystal Cannon Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(814, 70, null, null, ../../assets/recipe-icons/workshop-expansion-supplies.png, Workshop Expansion Supplies, 1, Workshop Expansion Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(815, 70, null, null, ../../assets/recipe-icons/automaton-worker-supplies.png, Automaton Worker Supplies, 1, Automaton Worker Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(816, 70, null, null, ../../assets/recipe-icons/armament-repair-kit.png, Armament Repair Kit, 1, Armament Repair Kit Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(817, 70, null, null, ../../assets/recipe-icons/grooming-kit.png, Grooming Kit, 1, Grooming Kit Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(818, 70, null, null, ../../assets/recipe-icons/core-tank-component.png, Core Tank Component, 1, Core Tank Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(819, 70, null, null, ../../assets/recipe-icons/axle-component.png, Axle Component, 1, Axle Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(820, 70, null, null, ../../assets/recipe-icons/blueprint-supplies.png, Blueprint Supplies, 1, Blueprint Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(821, 70, null, null, ../../assets/recipe-icons/steel-plate-component.png, Steel Plate Component, 1, Steel Plate Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(822, 70, null, null, ../../assets/recipe-icons/cask-component.png, Cask Component, 1, Cask Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(823, 70, null, null, ../../assets/recipe-icons/engine-component.png, Engine Component, 1, Engine Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(824, 70, null, null, ../../assets/recipe-icons/filtration-supplies.png, Filtration Supplies, 1, Filtration Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(825, 70, null, null, ../../assets/recipe-icons/cooling-device-component.png, Cooling Device Component, 1, Cooling Device Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(826, 70, null, null, ../../assets/recipe-icons/tavern-materials.png, Tavern Materials, 1, Tavern Supplies, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(827, 70, null, null, ../../assets/recipe-icons/heat-resistant-component.png, Heat-resistant Component, 1, Heat-resistant Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(828, 70, null, null, ../../assets/recipe-icons/bespoke-barter-item.png, Bespoke Barter Item, 1, Bespoke Barter Item Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(829, 70, null, null, ../../assets/recipe-icons/test-fire-target-dummy.png, Test-fire Target Dummy, 1, Test-fire Target Dummy Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(830, 70, null, null, ../../assets/recipe-icons/experimental-plating-component.png, Experimental Plating Component, 1, Experimental Plating Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(831, 70, null, null, ../../assets/recipe-icons/unfailing-eye-opener.png, Unfailing Eye Opener, 1, Unfailing Eye Opener Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(832, 70, null, null, ../../assets/recipe-icons/eye-catching-custom-option.png, Eye-catching Custom Option, 1, Eye-catching Custom Option Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(833, 70, null, null, ../../assets/recipe-icons/automaton-repair-component.png, Automaton Repair Component, 1, Automaton Repair Component Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(834, 70, null, null, ../../assets/recipe-icons/low-profile-custom-option.png, Low-profile Custom Option, 1, Low-profile Custom Option Materials, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(835, 63, null, null, ../../assets/recipe-icons/intellectuary.png, Intellectuary, 1, Electuary Ingredients, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(836, 65, null, null, ../../assets/recipe-icons/twice-fermented-mun-tuy-juice.png, Twice-fermented Mun-Tuy Juice, 1, Juice Ingredients, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(837, 68, null, null, ../../assets/recipe-icons/luminol.png, Luminol, 1, Luminol Ingredients, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(838, 70, null, null, ../../assets/recipe-icons/potent-dissolvent.png, Potent Dissolvent, 1, Dissolvent Ingredients, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 1),
(839, 70, null, null, ../../assets/recipe-icons/edible-antidote.png, Edible Antidote, 3, Crescent Spring Water, 1, Holy Basil, 1, Persimmon Leaf, 1, Antidote, 1, null, null, null, null, Water Crystal, 2, Lightning Crystal, 2),
(840, 73, null, null, ../../assets/recipe-icons/nutrient-rich-porridge.png, Nutrient-rich Porridge, 3, Garden Beet Sugar, 1, Gyr Abanian Flour, 1, Steppe Milk, 1, Raisins, 1, null, null, null, null, Water Crystal, 2, Lightning Crystal, 2),
(841, 75, null, null, ../../assets/recipe-icons/fortifying-soup.png, Fortifying Soup, 3, Creamtop Mushroom, 1, Highland Spring Water, 1, Purple Carrot, 1, Ala Mhigan Salt Crystal, 1, null, null, null, null, Water Crystal, 2, Lightning Crystal, 2),
(842, 75, null, null, ../../assets/recipe-icons/offering-of-sweets.png, Offering of Sweets, 1, Sweets Ingredients, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 2),
(843, 78, null, null, ../../assets/recipe-icons/berube-feed.png, Berube Feed, 3, Ovim Meat, 1, Chysahl Greens, 1, Curly Parsley, 1, Hollandaise Sauce, 1, Yak Milk, 1, null, null, Water Crystal, 2, Lightning Crystal, 2),
(844, 80, null, null, ../../assets/recipe-icons/zun-style-amaro-feed.png, Zun-style Amaro Feed, 1, Zun Culinary Components, 1, null, null, null, null, null, null, null, null, null, null, Water Crystal, 2, Lightning Crystal, 2),
(845, 20, null, null, ../../assets/recipe-icons/skybuilders'-ink.png, Skybuilders' Ink, 1, Skybuilders' Fine Sand, 6, Acidic Secretions, 1, null, null, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 2),
(846, 40, null, null, ../../assets/recipe-icons/skybuilders'-plant-oil.png, Skybuilders' Plant Oil, 1, Skybuilders' Flax, 4, Skybuilders' Toad, 4, Mistletoe, 2, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 2),
(847, 60, null, null, ../../assets/recipe-icons/skybuilders'-charcoal.png, Skybuilders' Charcoal, 1, Skybuilders' Straw, 6, Skybuilders' Camphorwood Log, 6, Lanolin, 1, null, null, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(848, 70, null, null, ../../assets/recipe-icons/skybuilders'-soap.png, Skybuilders' Soap, 1, Skybuilders' Cocoon, 6, Skybuilders' Ruby Sea Water, 6, Skybuilders' Urunday Log, 6, Bear Fat, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(849, 80, null, null, ../../assets/recipe-icons/skybuilders'-alchemic.png, Skybuilders' Alchemic, 1, Skybuilders' Dawn Lizard, 8, Skybuilders' Sea Salt, 8, Skybuilders' Highland Spring Water, 8, Golden Honey, 1, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(850, 20, null, null, ../../assets/recipe-icons/grade-2-skybuilders'-ink.png, Grade 2 Skybuilders' Ink, 1, Approved Grade 2 Skybuilders' Copper Sand, 5, Acidic Secretions, 1, null, null, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 2),
(851, 40, null, null, ../../assets/recipe-icons/grade-2-skybuilders'-plant-oil.png, Grade 2 Skybuilders' Plant Oil, 1, Approved Grade 2 Skybuilders' Flax, 5, Approved Grade 2 Skybuilders' Rock Salt, 5, Mistletoe, 4, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 2),
(852, 60, null, null, ../../assets/recipe-icons/grade-2-skybuilders'-dye.png, Grade 2 Skybuilders' Dye, 1, Approved Grade 2 Skybuilders' Pigment, 5, Approved Grade 2 Skybuilders' Beehive, 5, Approved Grade 2 Skybuilders' Asphaltum, 5, Abalathian Spring Water, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(853, 70, null, null, ../../assets/recipe-icons/grade-2-skybuilders'-soap.png, Grade 2 Skybuilders' Soap, 1, Approved Grade 2 Skybuilders' Alumen, 5, Approved Grade 2 Skybuilders' Spring Water, 5, Approved Grade 2 Skybuilders' Oak Log, 5, Bear Fat, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(854, 80, null, null, ../../assets/recipe-icons/grade-2-skybuilders'-alchemic.png, Grade 2 Skybuilders' Alchemic, 1, Approved Grade 2 Skybuilders' Adder, 10, Approved Grade 2 Skybuilders' Crystal-clear Rock Salt, 10, Approved Grade 2 Skybuilders' Cloud Drop Water, 10, Hoptrap Leaf, 4, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(855, 80, null, null, ../../assets/recipe-icons/grade-2-artisanal-skybuilders'-remedies.png, Grade 2 Artisanal Skybuilders' Remedies, 1, Approved Grade 2 Skybuilders' Umbral Earthcap, 5, Approved Grade 2 Artisanal Skybuilders' Dawn Lizard, 10, Approved Grade 2 Artisanal Skybuilders' Rock Salt, 10, Approved Grade 2 Artisanal Skybuilders' Hardened Sap, 10, null, null, null, null, Water Cluster, 4, Lightning Cluster, 2),
(856, 20, null, null, ../../assets/recipe-icons/grade-3-skybuilders'-ink.png, Grade 3 Skybuilders' Ink, 1, Approved Grade 3 Skybuilders' Bomb Ash, 5, Acidic Secretions, 1, null, null, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(857, 40, null, null, ../../assets/recipe-icons/grade-3-skybuilders'-plant-oil.png, Grade 3 Skybuilders' Plant Oil, 1, Approved Grade 3 Skybuilders' Sesame, 5, Approved Grade 3 Skybuilders' Rock Salt, 5, Mistletoe, 2, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 2),
(858, 60, null, null, ../../assets/recipe-icons/grade-3-skybuilders'-holy-water.png, Grade 3 Skybuilders' Holy Water, 1, Approved Grade 3 Skybuilders' Mistletoe, 5, Approved Grade 3 Skybuilders' Spring Water, 5, Approved Grade 3 Skybuilders' Toad, 5, Rue, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(859, 70, null, null, ../../assets/recipe-icons/grade-3-skybuilders'-soap.png, Grade 3 Skybuilders' Soap, 1, Approved Grade 3 Skybuilders' Lauan Log, 10, Approved Grade 3 Skybuilders' Mistletoe, 10, Approved Grade 3 Skybuilders' Tea Leaves, 10, Bear Fat, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(860, 80, null, null, ../../assets/recipe-icons/grade-3-skybuilders'-growth-formula.png, Grade 3 Skybuilders' Growth Formula, 1, Approved Grade 3 Skybuilders' Adder, 10, Approved Grade 3 Skybuilders' Finest Rock Salt, 10, Approved Grade 3 Skybuilders' Truespring Water, 10, Hoptrap Leaf, 4, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(861, 80, null, null, ../../assets/recipe-icons/grade-3-artisanal-skybuilders'-tiled-flooring.png, Grade 3 Artisanal Skybuilders' Tiled Flooring, 1, Approved Grade 3 Skybuilders' Umbral Galewood Sap, 5, Approved Grade 3 Artisanal Skybuilders' Clay, 10, Approved Grade 3 Artisanal Skybuilders' Granite, 10, Approved Grade 3 Artisanal Skybuilders' Alumen, 10, null, null, null, null, Water Cluster, 4, Lightning Cluster, 2),
(862, 20, null, null, ../../assets/recipe-icons/grade-4-skybuilders'-ink.png, Grade 4 Skybuilders' Ink, 1, Approved Grade 4 Skybuilders' Iron Sand, 5, Acidic Secretions, 1, null, null, null, null, null, null, null, null, Water Shard, 2, Lightning Shard, 2),
(863, 40, null, null, ../../assets/recipe-icons/grade-4-skybuilders'-plant-oil.png, Grade 4 Skybuilders' Plant Oil, 1, Approved Grade 4 Skybuilders' Sesame, 5, Approved Grade 4 Skybuilders' Rock Salt, 5, Mistletoe, 2, null, null, null, null, null, null, Water Shard, 4, Lightning Shard, 2),
(864, 60, null, null, ../../assets/recipe-icons/grade-4-skybuilders'-holy-water.png, Grade 4 Skybuilders' Holy Water, 1, Approved Grade 4 Skybuilders' Mistletoe, 5, Approved Grade 4 Skybuilders' Spring Water, 5, Approved Grade 4 Skybuilders' Toad, 5, Rue, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(865, 70, null, null, ../../assets/recipe-icons/grade-4-skybuilders'-soap.png, Grade 4 Skybuilders' Soap, 1, Approved Grade 4 Skybuilders' Spruce Log, 10, Approved Grade 4 Skybuilders' Mistletoe, 10, Approved Grade 4 Skybuilders' Tea Leaves, 10, Bear Fat, 2, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(866, 80, null, null, ../../assets/recipe-icons/grade-4-skybuilders'-growth-formula.png, Grade 4 Skybuilders' Growth Formula, 1, Approved Grade 4 Skybuilders' Tortoise, 10, Approved Grade 4 Skybuilders' Finest Rock Salt, 10, Approved Grade 4 Skybuilders' Truespring Water, 10, Cubus Flesh, 4, null, null, null, null, Water Crystal, 4, Lightning Crystal, 2),
(867, 80, null, null, ../../assets/recipe-icons/grade-4-artisanal-skybuilders'-tincture.png, Grade 4 Artisanal Skybuilders' Tincture, 1, Approved Grade 4 Skybuilders' Umbral Levinsand, 5, Approved Grade 4 Artisanal Skybuilders' Caiman, 10, Approved Grade 4 Artisanal Skybuilders' Cocoon, 10, Approved Grade 4 Artisanal Skybuilders' Raspberry, 10, null, null, null, null, Water Cluster, 4, Lightning Cluster, 2),
(868, 80, null, null, ../../assets/recipe-icons/oddly-specific-synthetic-resin.png, Oddly Specific Synthetic Resin, 1, Oddly Specific Quartz, 1, Vampire Vine Sap, 1, null, null, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(869, 80, null, null, ../../assets/recipe-icons/oddly-specific-glass.png, Oddly Specific Glass, 1, Oddly Specific Quartz, 1, Refined Natron, 1, null, null, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(870, 80, null, null, ../../assets/recipe-icons/oddly-specific-glue.png, Oddly Specific Glue, 1, Oddly Specific Sap, 1, Vampire Cup Vine, 2, null, null, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(871, 80, null, null, ../../assets/recipe-icons/oddly-specific-rubber.png, Oddly Specific Rubber, 1, Oddly Specific Sap, 1, Refined Natron, 1, null, null, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
